id,sanction_id,ddo_code,vendor_id,amount,purpose_category,release_date,utilization_date,status
57,SAN000057,DDO0001,63,1334000,Maintenance,2023-06-26,2023-07-04,utilized
58,SAN000058,DDO0001,11,3750000,Operations,2023-11-26,2023-12-06,utilized
59,SAN000059,DDO0001,63,632000,Construction,2023-10-10,,paid
60,SAN000060,DDO0001,177,1993000,Procurement,2023-12-11,2023-12-29,utilized
61,SAN000061,DDO0001,185,2636000,Infrastructure,2023-11-28,2023-12-05,utilized
62,SAN000062,DDO0001,63,380000,Maintenance,2023-07-02,2023-07-15,utilized
63,SAN000063,DDO0001,11,2637000,Welfare,2023-02-24,2023-03-05,utilized
64,SAN000064,DDO0001,286,385000,Subsidies,2023-05-10,2023-06-19,utilized
65,SAN000065,DDO0001,287,1238000,Services,2023-11-18,2023-11-30,utilized
66,SAN000066,DDO0001,63,712000,Welfare,2023-09-07,2023-09-26,utilized
67,SAN000067,DDO0001,132,3116000,Procurement,2023-06-09,2023-06-20,utilized
68,SAN000068,DDO0001,478,857000,Construction,2023-11-14,2023-12-07,utilized
69,SAN000069,DDO0001,11,1121000,Construction,2023-05-12,2023-05-30,utilized
70,SAN000070,DDO0001,287,485000,Maintenance,2023-05-12,2023-05-25,utilized
71,SAN000071,DDO0001,132,2955000,Training,2023-12-27,2024-01-28,utilized
72,SAN000072,DDO0001,211,437000,Welfare,2023-09-11,2023-10-01,utilized
73,SAN000073,DDO0001,286,2688000,Construction,2023-10-20,2023-11-17,utilized
74,SAN000074,DDO0001,415,280000,Maintenance,2023-10-22,2023-11-12,utilized
75,SAN000075,DDO0001,287,1464000,Equipment,2023-02-21,2023-03-03,utilized
76,SAN000076,DDO0001,177,1182000,Welfare,2023-01-28,2023-02-07,utilized
77,SAN000077,DDO0001,211,182000,Welfare,2023-12-16,2024-01-18,utilized
78,SAN000078,DDO0001,478,2947000,Equipment,2023-10-23,,paid
79,SAN000079,DDO0001,132,1732000,Training,2023-09-24,2023-10-13,utilized
80,SAN000080,DDO0001,185,1435000,Infrastructure,2023-12-17,2023-12-22,utilized
81,SAN000081,DDO0001,286,1526000,Services,2023-12-31,2024-01-09,utilized
82,SAN000082,DDO0001,63,3047000,Maintenance,2023-11-17,2023-12-17,utilized
83,SAN000083,DDO0001,415,3198000,Subsidies,2023-06-05,2023-07-13,utilized
84,SAN000084,DDO0001,211,2816000,Services,2023-04-21,2023-05-14,utilized
85,SAN000085,DDO0001,177,4420000,Services,2024-11-17,2024-12-27,utilized
86,SAN000086,DDO0001,211,1273000,Equipment,2024-12-11,,paid
87,SAN000087,DDO0001,132,4264000,Infrastructure,2024-12-05,2024-12-28,utilized
88,SAN000088,DDO0001,415,629000,Procurement,2024-09-30,2024-10-12,utilized
89,SAN000089,DDO0001,63,960000,Operations,2024-05-25,2024-06-12,utilized
90,SAN000090,DDO0001,132,347000,Subsidies,2024-10-08,2024-10-20,utilized
91,SAN000091,DDO0001,132,802000,Subsidies,2024-09-20,2024-10-24,utilized
92,SAN000092,DDO0001,177,3664000,Training,2024-04-07,2024-05-07,utilized
93,SAN000093,DDO0001,478,178000,Subsidies,2024-06-22,2024-07-27,utilized
94,SAN000094,DDO0001,478,1183000,Construction,2024-11-28,2024-12-26,utilized
95,SAN000095,DDO0001,63,1980000,Construction,2024-11-13,2024-12-20,utilized
96,SAN000096,DDO0001,185,4337000,Welfare,2024-03-15,2024-04-22,utilized
97,SAN000097,DDO0001,177,2111000,Construction,2024-08-24,,paid
98,SAN000098,DDO0001,415,3276000,Subsidies,2024-05-15,2024-05-29,utilized
99,SAN000099,DDO0001,211,1614000,Subsidies,2024-08-20,2024-08-29,utilized
100,SAN000100,DDO0001,63,3381000,Services,2024-11-04,2024-12-03,utilized
101,SAN000101,DDO0001,11,2634000,Maintenance,2024-08-15,,paid
102,SAN000102,DDO0001,286,2775000,Procurement,2024-12-03,2024-12-14,utilized
103,SAN000103,DDO0001,211,1892000,Welfare,2024-11-21,2024-12-05,utilized
104,SAN000104,DDO0001,286,2306000,Services,2024-08-13,,paid
105,SAN000105,DDO0001,185,1034000,Subsidies,2024-04-05,2024-04-27,utilized
106,SAN000106,DDO0001,478,108000,Training,2024-10-04,2024-10-08,utilized
107,SAN000107,DDO0001,185,2742000,Maintenance,2024-09-28,2024-10-15,utilized
108,SAN000108,DDO0001,11,318000,Construction,2024-10-16,2024-11-04,utilized
109,SAN000109,DDO0001,211,3531000,Construction,2024-12-09,2024-12-24,utilized
110,SAN000110,DDO0001,286,1220000,Operations,2024-04-21,2024-05-14,utilized
111,SAN000111,DDO0001,177,346000,Training,2024-07-03,,paid
112,SAN000112,DDO0001,63,2648000,Subsidies,2024-10-23,2024-11-19,utilized
113,SAN000113,DDO0001,132,1665000,Procurement,2024-12-03,2025-01-03,utilized
114,SAN000114,DDO0001,286,466000,Training,2024-12-03,2024-12-28,utilized
115,SAN000115,DDO0001,478,928000,Operations,2024-10-17,2024-11-23,utilized
116,SAN000116,DDO0001,63,3801000,Training,2024-12-16,2025-01-16,utilized
117,SAN000117,DDO0001,63,1578000,Services,2024-10-11,2024-11-20,utilized
118,SAN000118,DDO0001,11,1555000,Operations,2024-09-24,2024-10-12,utilized
119,SAN000119,DDO0001,185,1632000,Procurement,2024-11-07,,paid
120,SAN000120,DDO0001,177,630000,Equipment,2024-11-07,2024-12-16,utilized
121,SAN000121,DDO0001,478,1633000,Procurement,2024-12-07,,paid
122,SAN000122,DDO0001,185,462000,Equipment,2024-07-17,2024-08-15,utilized
123,SAN000123,DDO0001,286,534000,Equipment,2024-11-20,2024-12-24,utilized
124,SAN000124,DDO0001,286,913000,Subsidies,2024-12-26,,paid
125,SAN000125,DDO0001,11,3369000,Construction,2024-12-18,2025-01-24,utilized
126,SAN000126,DDO0001,211,757000,Operations,2024-07-24,2024-08-18,utilized
127,SAN000127,DDO0001,287,354000,Construction,2024-11-29,2024-12-24,utilized
128,SAN000128,DDO0001,286,2026000,Services,2024-12-21,2025-01-01,utilized
129,SAN000129,DDO0001,132,1000000,Infrastructure,2024-12-25,2025-01-03,utilized
130,SAN000130,DDO0001,415,684000,Services,2024-09-08,2024-09-19,utilized
131,SAN000131,DDO0001,287,1435000,Subsidies,2024-08-02,2024-09-07,utilized
132,SAN000132,DDO0001,211,1253000,Services,2024-04-11,2024-04-21,utilized
133,SAN000133,DDO0001,286,838000,Subsidies,2024-12-31,2025-01-28,utilized
134,SAN000134,DDO0001,415,1345000,Operations,2024-11-17,2024-11-26,utilized
135,SAN000135,DDO0001,211,2812000,Training,2024-07-29,,paid
136,SAN000136,DDO0001,478,683000,Training,2024-01-25,2024-02-15,utilized
137,SAN000137,DDO0001,287,508000,Training,2024-10-25,2024-11-05,utilized
138,SAN000138,DDO0001,287,698000,Welfare,2024-01-20,2024-02-13,utilized
139,SAN000139,DDO0001,63,471000,Training,2024-06-23,2024-07-18,utilized
140,SAN000140,DDO0001,11,3315000,Procurement,2024-10-02,2024-10-30,utilized
141,SAN000141,DDO0001,63,3051000,Subsidies,2024-02-14,2024-03-11,utilized
142,SAN000142,DDO0001,211,441000,Subsidies,2024-07-27,2024-09-05,utilized
143,SAN000143,DDO0001,11,360000,Subsidies,2024-04-27,2024-05-31,utilized
144,SAN000144,DDO0001,63,1264000,Infrastructure,2024-06-08,2024-06-23,utilized
145,SAN000145,DDO0001,132,1404000,Procurement,2024-11-22,2024-12-26,utilized
146,SAN000146,DDO0001,286,1245000,Operations,2024-04-16,2024-05-26,utilized
147,SAN000147,DDO0001,287,1113000,Procurement,2024-04-04,2024-04-27,utilized
148,SAN000148,DDO0001,478,1336000,Services,2024-10-13,2024-11-16,utilized
149,SAN000149,DDO0001,63,1768000,Infrastructure,2024-08-11,2024-09-20,utilized
150,SAN000150,DDO0001,286,2500000,Operations,2024-11-18,2024-12-23,utilized
151,SAN000151,DDO0001,211,522000,Services,2024-04-20,2024-05-13,utilized
152,SAN000152,DDO0001,63,3255000,Equipment,2024-12-03,2025-01-07,utilized
153,SAN000153,DDO0001,286,3013000,Construction,2024-11-02,2024-11-15,utilized
154,SAN000154,DDO0002,450,312000,Operations,2022-07-31,2022-09-05,utilized
155,SAN000155,DDO0002,232,1669000,Construction,2022-08-05,2022-08-09,utilized
156,SAN000156,DDO0002,150,1989000,Construction,2022-11-27,2022-12-16,utilized
157,SAN000157,DDO0002,349,1888000,Infrastructure,2022-08-19,2022-09-19,utilized
158,SAN000158,DDO0002,200,708000,Equipment,2022-10-22,2022-11-21,utilized
159,SAN000159,DDO0002,200,48000,Construction,2022-04-28,2022-05-11,utilized
160,SAN000160,DDO0002,200,165000,Infrastructure,2022-11-16,2022-12-19,utilized
161,SAN000161,DDO0002,154,1196000,Welfare,2022-12-23,2023-01-23,utilized
162,SAN000162,DDO0002,229,520000,Construction,2022-10-15,2022-11-24,utilized
163,SAN000163,DDO0002,101,1987000,Operations,2022-09-24,2022-10-21,utilized
164,SAN000164,DDO0002,450,415000,Procurement,2022-02-02,2022-02-15,utilized
165,SAN000165,DDO0002,101,1453000,Welfare,2022-11-17,2022-11-26,utilized
166,SAN000166,DDO0002,273,2414000,Operations,2022-06-21,2022-07-14,utilized
167,SAN000167,DDO0002,77,1439000,Subsidies,2022-10-29,2022-12-08,utilized
168,SAN000168,DDO0002,106,584000,Operations,2022-11-14,2022-12-07,utilized
169,SAN000169,DDO0002,407,1113000,Construction,2022-11-19,2022-12-11,utilized
170,SAN000170,DDO0002,407,162000,Procurement,2022-12-20,,paid
171,SAN000171,DDO0002,101,1209000,Construction,2022-12-09,2022-12-20,utilized
172,SAN000172,DDO0002,200,1961000,Services,2022-10-30,2022-11-19,utilized
173,SAN000173,DDO0002,232,1631000,Services,2022-11-08,2022-11-21,utilized
174,SAN000174,DDO0002,163,901000,Services,2022-12-25,2023-01-11,utilized
175,SAN000175,DDO0002,101,3254000,Construction,2022-10-27,2022-11-10,utilized
176,SAN000176,DDO0002,229,1497000,Infrastructure,2022-09-16,2022-10-20,utilized
177,SAN000177,DDO0002,77,1420000,Subsidies,2022-06-17,2022-07-15,utilized
178,SAN000178,DDO0002,232,564000,Equipment,2022-11-17,2022-12-18,utilized
179,SAN000179,DDO0002,349,624000,Procurement,2022-10-21,2022-11-10,utilized
180,SAN000180,DDO0002,229,2734000,Maintenance,2022-11-13,2022-12-20,utilized
181,SAN000181,DDO0002,349,741000,Construction,2022-07-23,2022-07-31,utilized
182,SAN000182,DDO0002,292,770000,Training,2022-01-04,2022-01-24,utilized
183,SAN000183,DDO0002,232,2245000,Maintenance,2022-05-01,2022-05-12,utilized
184,SAN000184,DDO0002,200,1459000,Operations,2022-11-04,2022-11-19,utilized
185,SAN000185,DDO0002,106,1690000,Procurement,2022-12-23,2023-01-25,utilized
186,SAN000186,DDO0002,349,520000,Procurement,2022-12-09,2022-12-30,utilized
187,SAN000187,DDO0002,232,1306000,Training,2022-11-13,2022-11-28,utilized
188,SAN000188,DDO0002,296,1664000,Subsidies,2022-09-16,2022-09-26,utilized
189,SAN000189,DDO0002,150,2657000,Training,2022-04-25,2022-05-05,utilized
190,SAN000190,DDO0002,101,2226000,Subsidies,2022-02-03,2022-02-16,utilized
191,SAN000191,DDO0002,163,510000,Equipment,2022-11-01,2022-11-30,utilized
192,SAN000192,DDO0002,407,1407000,Procurement,2022-10-17,2022-11-24,utilized
193,SAN000193,DDO0002,407,410000,Equipment,2022-06-13,2022-07-08,utilized
194,SAN000194,DDO0002,273,1186000,Equipment,2022-11-13,,paid
195,SAN000195,DDO0002,106,1309000,Welfare,2022-03-15,2022-03-21,utilized
196,SAN000196,DDO0002,163,1501000,Equipment,2022-12-22,2023-01-26,utilized
197,SAN000197,DDO0002,296,220000,Construction,2022-03-21,2022-04-09,utilized
198,SAN000198,DDO0002,106,1580000,Subsidies,2022-09-03,2022-09-08,utilized
199,SAN000199,DDO0002,232,689000,Welfare,2022-02-02,2022-03-07,utilized
200,SAN000200,DDO0002,200,2489000,Procurement,2022-12-28,2023-01-03,utilized
201,SAN000201,DDO0002,407,4229000,Construction,2022-11-16,2022-12-05,utilized
202,SAN000202,DDO0002,232,2140000,Procurement,2022-11-05,,paid
203,SAN000203,DDO0002,273,3508000,Procurement,2022-09-06,2022-10-11,utilized
204,SAN000204,DDO0002,296,1080000,Infrastructure,2022-10-20,2022-11-13,utilized
205,SAN000205,DDO0002,200,1452000,Maintenance,2022-04-22,2022-04-28,utilized
206,SAN000206,DDO0002,101,617000,Services,2022-10-11,,paid
207,SAN000207,DDO0002,229,3121000,Services,2022-11-18,2022-11-28,utilized
208,SAN000208,DDO0002,316,137000,Procurement,2022-11-21,2022-11-25,utilized
209,SAN000209,DDO0002,106,1628000,Subsidies,2022-01-30,2022-02-11,utilized
210,SAN000210,DDO0002,292,928000,Services,2022-05-21,2022-05-27,utilized
211,SAN000211,DDO0002,273,2749000,Training,2022-10-23,2022-11-18,utilized
212,SAN000212,DDO0002,150,2507000,Operations,2022-08-18,2022-09-14,utilized
213,SAN000213,DDO0002,292,2723000,Maintenance,2022-12-18,2023-01-08,utilized
214,SAN000214,DDO0002,407,950000,Construction,2022-02-04,2022-02-11,utilized
215,SAN000215,DDO0002,101,1186000,Subsidies,2022-11-10,2022-11-16,utilized
216,SAN000216,DDO0002,316,758000,Subsidies,2022-03-02,2022-04-07,utilized
217,SAN000217,DDO0002,292,1972000,Infrastructure,2022-04-29,2022-05-15,utilized
218,SAN000218,DDO0002,150,716000,Maintenance,2022-11-29,2022-12-29,utilized
219,SAN000219,DDO0002,273,1670000,Construction,2022-12-13,2023-01-13,utilized
220,SAN000220,DDO0002,316,1054000,Subsidies,2022-04-30,2022-05-16,utilized
221,SAN000221,DDO0002,200,232000,Construction,2022-10-09,2022-10-30,utilized
222,SAN000222,DDO0002,316,1945000,Training,2023-03-15,2023-03-29,utilized
223,SAN000223,DDO0002,316,2788000,Maintenance,2023-11-21,2023-11-30,utilized
224,SAN000224,DDO0002,296,1750000,Subsidies,2023-08-17,2023-09-07,utilized
225,SAN000225,DDO0002,229,608000,Operations,2023-01-14,2023-02-01,utilized
226,SAN000226,DDO0002,77,2069000,Construction,2023-12-19,2024-01-22,utilized
227,SAN000227,DDO0002,163,2065000,Procurement,2023-11-17,,paid
228,SAN000228,DDO0002,77,2771000,Maintenance,2023-09-08,2023-09-20,utilized
229,SAN000229,DDO0002,273,93000,Training,2023-08-08,2023-08-22,utilized
230,SAN000230,DDO0002,77,1365000,Services,2023-11-28,2023-12-27,utilized
231,SAN000231,DDO0002,292,2523000,Procurement,2023-05-28,2023-06-25,utilized
232,SAN000232,DDO0002,106,1719000,Operations,2023-12-11,2024-01-18,utilized
233,SAN000233,DDO0002,273,2738000,Construction,2023-10-07,2023-11-12,utilized
234,SAN000234,DDO0002,232,329000,Subsidies,2023-12-22,2023-12-28,utilized
235,SAN000235,DDO0002,273,2124000,Maintenance,2023-08-06,2023-08-18,utilized
236,SAN000236,DDO0002,407,3439000,Operations,2023-12-08,2023-12-25,utilized
237,SAN000237,DDO0002,450,2013000,Infrastructure,2023-11-25,2023-12-16,utilized
238,SAN000238,DDO0002,407,1665000,Procurement,2023-02-12,2023-03-18,utilized
239,SAN000239,DDO0002,106,1625000,Procurement,2023-11-22,2023-12-08,utilized
240,SAN000240,DDO0002,163,1730000,Procurement,2023-12-15,2023-12-25,utilized
241,SAN000241,DDO0002,407,681000,Welfare,2023-04-04,2023-04-09,utilized
242,SAN000242,DDO0002,200,1250000,Subsidies,2023-07-22,2023-07-27,utilized
243,SAN000243,DDO0002,229,3894000,Equipment,2023-07-03,,paid
244,SAN000244,DDO0002,349,1684000,Welfare,2023-08-11,2023-09-19,utilized
245,SAN000245,DDO0002,106,761000,Maintenance,2023-09-10,2023-10-14,utilized
246,SAN000246,DDO0002,232,394000,Subsidies,2023-08-10,2023-08-24,utilized
247,SAN000247,DDO0002,106,882000,Services,2023-10-06,2023-10-20,utilized
248,SAN000248,DDO0002,200,1030000,Services,2023-06-02,2023-06-19,utilized
249,SAN000249,DDO0002,450,405000,Welfare,2023-10-02,2023-10-16,utilized
250,SAN000250,DDO0002,163,2848000,Services,2023-10-04,2023-11-06,utilized
251,SAN000251,DDO0002,349,2470000,Subsidies,2023-12-05,,paid
252,SAN000252,DDO0002,200,2657000,Subsidies,2023-12-31,2024-01-25,utilized
253,SAN000253,DDO0002,232,573000,Procurement,2023-11-24,2023-12-17,utilized
254,SAN000254,DDO0002,292,602000,Construction,2023-01-20,2023-02-05,utilized
255,SAN000255,DDO0002,101,297000,Welfare,2024-10-26,2024-11-27,utilized
256,SAN000256,DDO0002,163,658000,Operations,2024-11-03,2024-12-09,utilized
257,SAN000257,DDO0002,163,594000,Infrastructure,2024-12-30,2025-01-26,utilized
258,SAN000258,DDO0002,450,1475000,Welfare,2024-08-01,2024-08-10,utilized
259,SAN000259,DDO0002,154,2306000,Services,2024-05-29,2024-06-29,utilized
260,SAN000260,DDO0002,273,314000,Subsidies,2024-11-14,2024-12-21,utilized
261,SAN000261,DDO0002,163,122000,Training,2024-12-03,2025-01-02,utilized
262,SAN000262,DDO0002,200,423000,Infrastructure,2024-05-15,2024-06-06,utilized
263,SAN000263,DDO0002,106,2818000,Subsidies,2024-10-02,2024-11-10,utilized
264,SAN000264,DDO0002,77,344000,Subsidies,2024-11-08,,paid
265,SAN000265,DDO0002,154,565000,Maintenance,2024-04-22,2024-04-27,utilized
266,SAN000266,DDO0002,273,2440000,Operations,2024-04-09,2024-05-13,utilized
267,SAN000267,DDO0002,407,2990000,Equipment,2024-10-28,2024-12-03,utilized
268,SAN000268,DDO0002,316,882000,Equipment,2024-11-01,2024-12-04,utilized
269,SAN000269,DDO0002,232,718000,Equipment,2024-12-05,2024-12-12,utilized
270,SAN000270,DDO0002,273,1042000,Services,2024-07-17,2024-07-27,utilized
271,SAN000271,DDO0002,349,3590000,Training,2024-10-06,2024-10-27,utilized
272,SAN000272,DDO0002,450,1507000,Services,2024-11-23,2024-12-30,utilized
273,SAN000273,DDO0002,349,4206000,Procurement,2024-06-25,2024-07-12,utilized
274,SAN000274,DDO0002,150,1269000,Procurement,2024-04-08,2024-04-19,utilized
275,SAN000275,DDO0002,450,1160000,Services,2024-12-30,,paid
276,SAN000276,DDO0002,349,709000,Construction,2024-12-29,2025-01-09,utilized
277,SAN000277,DDO0002,229,538000,Services,2024-06-28,2024-07-07,utilized
278,SAN000278,DDO0002,273,125000,Infrastructure,2024-08-25,2024-08-31,utilized
279,SAN000279,DDO0002,232,849000,Training,2024-05-02,2024-05-08,utilized
280,SAN000280,DDO0002,150,1394000,Operations,2024-02-22,,paid
281,SAN000281,DDO0002,450,50000,Training,2024-05-29,2024-06-24,utilized
282,SAN000282,DDO0002,229,1746000,Procurement,2024-07-28,2024-08-01,utilized
283,SAN000283,DDO0002,106,835000,Welfare,2024-10-23,2024-10-27,utilized
284,SAN000284,DDO0002,407,1402000,Services,2024-12-04,2025-01-05,utilized
285,SAN000285,DDO0002,450,1126000,Welfare,2024-11-04,2024-11-22,utilized
286,SAN000286,DDO0002,150,782000,Services,2024-08-25,2024-09-29,utilized
287,SAN000287,DDO0002,232,228000,Procurement,2024-11-23,2024-12-21,utilized
288,SAN000288,DDO0002,292,807000,Training,2024-06-20,2024-07-21,utilized
289,SAN000289,DDO0002,407,1769000,Construction,2024-05-03,2024-06-07,utilized
290,SAN000290,DDO0002,273,223000,Infrastructure,2024-11-13,2024-11-23,utilized
291,SAN000291,DDO0002,273,1767000,Equipment,2024-11-29,2024-12-15,utilized
292,SAN000292,DDO0002,154,2278000,Operations,2024-10-13,2024-11-03,utilized
293,SAN000293,DDO0002,163,1108000,Operations,2024-11-26,2024-12-25,utilized
294,SAN000294,DDO0002,292,214000,Subsidies,2024-12-17,2025-01-21,utilized
295,SAN000295,DDO0002,232,1283000,Construction,2024-06-05,,paid
296,SAN000296,DDO0002,349,367000,Operations,2024-12-13,2024-12-23,utilized
297,SAN000297,DDO0002,407,2373000,Training,2024-11-22,2024-12-27,utilized
298,SAN000298,DDO0002,77,1087000,Infrastructure,2024-09-09,2024-09-20,utilized
299,SAN000299,DDO0002,292,659000,Services,2024-08-11,2024-09-19,utilized
300,SAN000300,DDO0002,316,1398000,Training,2024-11-25,2024-12-23,utilized
301,SAN000301,DDO0002,407,2220000,Welfare,2024-09-04,2024-10-14,utilized
302,SAN000302,DDO0002,232,897000,Operations,2024-09-18,2024-10-16,utilized
303,SAN000303,DDO0002,106,514000,Operations,2024-10-12,2024-10-18,utilized
304,SAN000304,DDO0002,77,3451000,Equipment,2024-04-12,2024-05-10,utilized
305,SAN000305,DDO0002,154,555000,Maintenance,2024-03-12,2024-03-31,utilized
306,SAN000306,DDO0002,273,2059000,Equipment,2024-06-10,2024-06-24,utilized
307,SAN000307,DDO0002,154,1836000,Infrastructure,2024-01-11,,paid
308,SAN000308,DDO0002,77,897000,Infrastructure,2024-06-23,2024-07-17,utilized
309,SAN000309,DDO0002,296,1041000,Equipment,2024-10-26,2024-11-09,utilized
310,SAN000310,DDO0002,296,1758000,Procurement,2024-10-12,2024-11-19,utilized
311,SAN000311,DDO0002,163,1686000,Procurement,2024-05-09,,paid
312,SAN000312,DDO0002,349,427000,Welfare,2024-11-19,2024-12-23,utilized
313,SAN000313,DDO0002,106,2184000,Infrastructure,2024-08-12,2024-09-19,utilized
314,SAN000314,DDO0002,292,2728000,Services,2024-07-14,2024-07-19,utilized
315,SAN000315,DDO0002,407,789000,Subsidies,2024-10-17,2024-11-07,utilized
316,SAN000316,DDO0002,154,3068000,Construction,2024-12-18,2025-01-24,utilized
317,SAN000317,DDO0003,237,1310000,Infrastructure,2022-08-28,2022-09-18,utilized
318,SAN000318,DDO0003,124,861000,Services,2022-12-21,2023-01-06,utilized
319,SAN000319,DDO0003,392,1625000,Infrastructure,2022-01-26,2022-02-26,utilized
320,SAN000320,DDO0003,78,216000,Training,2022-11-02,2022-12-11,utilized
321,SAN000321,DDO0003,392,1097000,Procurement,2022-05-28,,paid
322,SAN000322,DDO0003,351,2319000,Procurement,2022-07-10,2022-08-08,utilized
323,SAN000323,DDO0003,124,411000,Welfare,2022-12-24,2023-01-04,utilized
324,SAN000324,DDO0003,154,851000,Procurement,2022-09-27,2022-10-16,utilized
325,SAN000325,DDO0003,383,2815000,Infrastructure,2022-10-25,2022-11-13,utilized
326,SAN000326,DDO0003,76,1027000,Subsidies,2022-12-07,2023-01-06,utilized
327,SAN000327,DDO0003,154,1403000,Procurement,2022-06-19,,paid
328,SAN000328,DDO0003,124,1231000,Services,2022-07-14,2022-08-10,utilized
329,SAN000329,DDO0003,187,3073000,Operations,2022-09-12,2022-09-18,utilized
330,SAN000330,DDO0003,187,3241000,Maintenance,2022-12-22,2023-01-11,utilized
331,SAN000331,DDO0003,383,3751000,Procurement,2022-10-10,2022-11-17,utilized
332,SAN000332,DDO0003,187,4370000,Training,2022-12-28,2023-01-20,utilized
333,SAN000333,DDO0003,78,942000,Services,2022-03-27,2022-04-28,utilized
