alert_id,tx_id,dept_id,alert_type,confidence_score,description,timestamp
33,350,1,Phantom Utilization,0.86,Transaction SAN000350 marked paid but no utilization recorded within 30 days.,2022-04-22 00:00:00
34,372,1,Phantom Utilization,0.92,Transaction SAN000372 marked paid but no utilization recorded within 30 days.,2023-11-07 00:00:00
35,375,1,Phantom Utilization,0.96,Transaction SAN000375 marked paid but no utilization recorded within 30 days.,2023-09-23 00:00:00
36,421,1,Phantom Utilization,0.91,Transaction SAN000421 marked paid but no utilization recorded within 30 days.,2024-10-20 00:00:00
37,426,1,Phantom Utilization,0.93,Transaction SAN000426 marked paid but no utilization recorded within 30 days.,2024-09-14 00:00:00
38,427,1,Phantom Utilization,0.91,Transaction SAN000427 marked paid but no utilization recorded within 30 days.,2024-08-20 00:00:00
39,429,1,Phantom Utilization,0.95,Transaction SAN000429 marked paid but no utilization recorded within 30 days.,2024-05-17 00:00:00
40,444,1,Phantom Utilization,0.87,Transaction SAN000444 marked paid but no utilization recorded within 30 days.,2024-09-20 00:00:00
41,465,1,Phantom Utilization,0.9,Transaction SAN000465 marked paid but no utilization recorded within 30 days.,2023-01-12 00:00:00
42,468,1,Phantom Utilization,0.94,Transaction SAN000468 marked paid but no utilization recorded within 30 days.,2022-10-31 00:00:00
43,483,1,Phantom Utilization,0.87,Transaction SAN000483 marked paid but no utilization recorded within 30 days.,2023-02-03 00:00:00
44,526,1,Phantom Utilization,0.86,Transaction SAN000526 marked paid but no utilization recorded within 30 days.,2023-09-03 00:00:00
45,527,1,Phantom Utilization,0.92,Transaction SAN000527 marked paid but no utilization recorded within 30 days.,2023-05-17 00:00:00
46,533,1,Phantom Utilization,0.88,Transaction SAN000533 marked paid but no utilization recorded within 30 days.,2023-04-29 00:00:00
47,537,1,Phantom Utilization,0.93,Transaction SAN000537 marked paid but no utilization recorded within 30 days.,2023-04-18 00:00:00
48,552,1,Phantom Utilization,0.92,Transaction SAN000552 marked paid but no utilization recorded within 30 days.,2024-04-11 00:00:00
49,559,1,Phantom Utilization,0.94,Transaction SAN000559 marked paid but no utilization recorded within 30 days.,2024-11-20 00:00:00
50,560,1,Phantom Utilization,0.92,Transaction SAN000560 marked paid but no utilization recorded within 30 days.,2025-01-05 00:00:00
51,575,1,Phantom Utilization,0.88,Transaction SAN000575 marked paid but no utilization recorded within 30 days.,2024-07-16 00:00:00
52,577,1,Phantom Utilization,0.92,Transaction SAN000577 marked paid but no utilization recorded within 30 days.,2024-06-30 00:00:00
53,582,1,Phantom Utilization,0.9,Transaction SAN000582 marked paid but no utilization recorded within 30 days.,2024-09-11 00:00:00
54,588,1,Phantom Utilization,0.89,Transaction SAN000588 marked paid but no utilization recorded within 30 days.,2024-10-28 00:00:00
55,641,2,Phantom Utilization,0.92,Transaction SAN000641 marked paid but no utilization recorded within 30 days.,2023-01-28 00:00:00
56,676,2,Phantom Utilization,0.87,Transaction SAN000676 marked paid but no utilization recorded within 30 days.,2023-03-26 00:00:00
57,679,2,Phantom Utilization,0.87,Transaction SAN000679 marked paid but no utilization recorded within 30 days.,2023-06-27 00:00:00
58,682,2,Phantom Utilization,0.88,Transaction SAN000682 marked paid but no utilization recorded within 30 days.,2023-07-31 00:00:00
59,692,2,Phantom Utilization,0.88,Transaction SAN000692 marked paid but no utilization recorded within 30 days.,2023-12-31 00:00:00
60,710,2,Phantom Utilization,0.94,Transaction SAN000710 marked paid but no utilization recorded within 30 days.,2023-07-02 00:00:00
61,717,2,Phantom Utilization,0.86,Transaction SAN000717 marked paid but no utilization recorded within 30 days.,2023-07-10 00:00:00
62,791,2,Phantom Utilization,0.93,Transaction SAN000791 marked paid but no utilization recorded within 30 days.,2022-12-09 00:00:00
63,803,2,Phantom Utilization,0.88,Transaction SAN000803 marked paid but no utilization recorded within 30 days.,2022-07-31 00:00:00
64,812,2,Phantom Utilization,0.89,Transaction SAN000812 marked paid but no utilization recorded within 30 days.,2022-12-12 00:00:00
65,818,2,Phantom Utilization,0.84,Transaction SAN000818 marked paid but no utilization recorded within 30 days.,2023-06-03 00:00:00
66,824,2,Phantom Utilization,0.85,Transaction SAN000824 marked paid but no utilization recorded within 30 days.,2024-01-23 00:00:00
67,837,2,Phantom Utilization,0.94,Transaction SAN000837 marked paid but no utilization recorded within 30 days.,2023-08-31 00:00:00
68,848,2,Phantom Utilization,0.93,Transaction SAN000848 marked paid but no utilization recorded within 30 days.,2024-01-07 00:00:00
69,855,2,Phantom Utilization,0.9,Transaction SAN000855 marked paid but no utilization recorded within 30 days.,2023-09-25 00:00:00
70,858,2,Phantom Utilization,0.86,Transaction SAN000858 marked paid but no utilization recorded within 30 days.,2025-01-09 00:00:00
71,868,2,Phantom Utilization,0.85,Transaction SAN000868 marked paid but no utilization recorded within 30 days.,2024-11-08 00:00:00
72,875,2,Phantom Utilization,0.86,Transaction SAN000875 marked paid but no utilization recorded within 30 days.,2025-01-23 00:00:00
73,888,2,Phantom Utilization,0.95,Transaction SAN000888 marked paid but no utilization recorded within 30 days.,2024-04-01 00:00:00
74,896,2,Phantom Utilization,0.93,Transaction SAN000896 marked paid but no utilization recorded within 30 days.,2024-03-02 00:00:00
75,904,2,Phantom Utilization,0.87,Transaction SAN000904 marked paid but no utilization recorded within 30 days.,2024-08-17 00:00:00
76,939,2,Phantom Utilization,0.96,Transaction SAN000939 marked paid but no utilization recorded within 30 days.,2022-03-05 00:00:00
77,940,2,Phantom Utilization,0.89,Transaction SAN000940 marked paid but no utilization recorded within 30 days.,2022-11-01 00:00:00
78,943,2,Phantom Utilization,0.86,Transaction SAN000943 marked paid but no utilization recorded within 30 days.,2023-01-30 00:00:00
79,957,2,Phantom Utilization,0.95,Transaction SAN000957 marked paid but no utilization recorded within 30 days.,2022-10-04 00:00:00
80,959,2,Phantom Utilization,0.91,Transaction SAN000959 marked paid but no utilization recorded within 30 days.,2022-05-23 00:00:00
81,964,2,Phantom Utilization,0.93,Transaction SAN000964 marked paid but no utilization recorded within 30 days.,2022-05-15 00:00:00
82,994,2,Phantom Utilization,0.93,Transaction SAN000994 marked paid but no utilization recorded within 30 days.,2024-01-15 00:00:00
83,1007,2,Phantom Utilization,0.92,Transaction SAN001007 marked paid but no utilization recorded within 30 days.,2023-10-28 00:00:00
84,1008,2,Phantom Utilization,0.91,Transaction SAN001008 marked paid but no utilization recorded within 30 days.,2023-12-29 00:00:00
85,1085,2,Phantom Utilization,0.89,Transaction SAN001085 marked paid but no utilization recorded within 30 days.,2022-08-27 00:00:00
86,1107,2,Phantom Utilization,0.86,Transaction SAN001107 marked paid but no utilization recorded within 30 days.,2023-10-11 00:00:00
87,1114,2,Phantom Utilization,0.95,Transaction SAN001114 marked paid but no utilization recorded within 30 days.,2023-12-18 00:00:00
88,1132,2,Phantom Utilization,0.93,Transaction SAN001132 marked paid but no utilization recorded within 30 days.,2024-09-14 00:00:00
89,1138,2,Phantom Utilization,0.94,Transaction SAN001138 marked paid but no utilization recorded within 30 days.,2025-01-17 00:00:00
90,1159,2,Phantom Utilization,0.86,Transaction SAN001159 marked paid but no utilization recorded within 30 days.,2024-12-11 00:00:00
91,1201,3,Phantom Utilization,0.92,Transaction SAN001201 marked paid but no utilization recorded within 30 days.,2022-12-14 00:00:00
92,1210,3,Phantom Utilization,0.88,Transaction SAN001210 marked paid but no utilization recorded within 30 days.,2023-03-13 00:00:00
93,1215,3,Phantom Utilization,0.94,Transaction SAN001215 marked paid but no utilization recorded within 30 days.,2024-01-24 00:00:00
94,1230,3,Phantom Utilization,0.94,Transaction SAN001230 marked paid but no utilization recorded within 30 days.,2023-06-17 00:00:00
95,1241,3,Phantom Utilization,0.84,Transaction SAN001241 marked paid but no utilization recorded within 30 days.,2023-11-24 00:00:00
96,1253,3,Phantom Utilization,0.91,Transaction SAN001253 marked paid but no utilization recorded within 30 days.,2023-10-30 00:00:00
97,1258,3,Phantom Utilization,0.94,Transaction SAN001258 marked paid but no utilization recorded within 30 days.,2023-03-29 00:00:00
98,1260,3,Phantom Utilization,0.94,Transaction SAN001260 marked paid but no utilization recorded within 30 days.,2023-09-23 00:00:00
99,1273,3,Phantom Utilization,0.88,Transaction SAN001273 marked paid but no utilization recorded within 30 days.,2024-06-19 00:00:00
100,1290,3,Phantom Utilization,0.88,Transaction SAN001290 marked paid but no utilization recorded within 30 days.,2025-01-15 00:00:00
101,1322,3,Phantom Utilization,0.85,Transaction SAN001322 marked paid but no utilization recorded within 30 days.,2025-01-07 00:00:00
102,1326,3,Phantom Utilization,0.86,Transaction SAN001326 marked paid but no utilization recorded within 30 days.,2024-12-03 00:00:00
103,1340,3,Phantom Utilization,0.92,Transaction SAN001340 marked paid but no utilization recorded within 30 days.,2022-10-23 00:00:00
104,1346,3,Phantom Utilization,0.9,Transaction SAN001346 marked paid but no utilization recorded within 30 days.,2022-07-21 00:00:00
105,1356,3,Phantom Utilization,0.89,Transaction SAN001356 marked paid but no utilization recorded within 30 days.,2022-12-03 00:00:00
106,1357,3,Phantom Utilization,0.85,Transaction SAN001357 marked paid but no utilization recorded within 30 days.,2023-02-03 00:00:00
107,1359,3,Phantom Utilization,0.95,Transaction SAN001359 marked paid but no utilization recorded within 30 days.,2022-07-26 00:00:00
108,1366,3,Phantom Utilization,0.94,Transaction SAN001366 marked paid but no utilization recorded within 30 days.,2022-12-31 00:00:00
109,1379,3,Phantom Utilization,0.94,Transaction SAN001379 marked paid but no utilization recorded within 30 days.,2022-11-04 00:00:00
110,1388,3,Phantom Utilization,0.96,Transaction SAN001388 marked paid but no utilization recorded within 30 days.,2022-11-20 00:00:00
111,1393,3,Phantom Utilization,0.92,Transaction SAN001393 marked paid but no utilization recorded within 30 days.,2022-10-13 00:00:00
112,1410,3,Phantom Utilization,0.88,Transaction SAN001410 marked paid but no utilization recorded within 30 days.,2023-11-18 00:00:00
113,1422,3,Phantom Utilization,0.91,Transaction SAN001422 marked paid but no utilization recorded within 30 days.,2024-01-05 00:00:00
114,1425,3,Phantom Utilization,0.91,Transaction SAN001425 marked paid but no utilization recorded within 30 days.,2023-12-07 00:00:00
115,1508,3,Phantom Utilization,0.84,Transaction SAN001508 marked paid but no utilization recorded within 30 days.,2024-10-05 00:00:00
116,1512,3,Phantom Utilization,0.92,Transaction SAN001512 marked paid but no utilization recorded within 30 days.,2024-12-21 00:00:00
117,1526,3,Phantom Utilization,0.89,Transaction SAN001526 marked paid but no utilization recorded within 30 days.,2022-05-31 00:00:00
118,1527,3,Phantom Utilization,0.93,Transaction SAN001527 marked paid but no utilization recorded within 30 days.,2023-01-14 00:00:00
119,1529,3,Phantom Utilization,0.88,Transaction SAN001529 marked paid but no utilization recorded within 30 days.,2023-01-16 00:00:00
120,1532,3,Phantom Utilization,0.94,Transaction SAN001532 marked paid but no utilization recorded within 30 days.,2022-06-30 00:00:00
121,1536,3,Phantom Utilization,0.91,Transaction SAN001536 marked paid but no utilization recorded within 30 days.,2022-04-20 00:00:00
122,1543,3,Phantom Utilization,0.92,Transaction SAN001543 marked paid but no utilization recorded within 30 days.,2022-12-21 00:00:00
123,1551,3,Phantom Utilization,0.84,Transaction SAN001551 marked paid but no utilization recorded within 30 days.,2024-01-01 00:00:00
124,1553,3,Phantom Utilization,0.86,Transaction SAN001553 marked paid but no utilization recorded within 30 days.,2023-12-22 00:00:00
125,1555,3,Phantom Utilization,0.91,Transaction SAN001555 marked paid but no utilization recorded within 30 days.,2023-10-10 00:00:00
126,1566,3,Phantom Utilization,0.91,Transaction SAN001566 marked paid but no utilization recorded within 30 days.,2023-11-28 00:00:00
127,1572,3,Phantom Utilization,0.89,Transaction SAN001572 marked paid but no utilization recorded within 30 days.,2024-01-13 00:00:00
128,1573,3,Phantom Utilization,0.93,Transaction SAN001573 marked paid but no utilization recorded within 30 days.,2023-11-10 00:00:00
129,1575,3,Phantom Utilization,0.92,Transaction SAN001575 marked paid but no utilization recorded within 30 days.,2023-05-20 00:00:00
130,1592,3,Phantom Utilization,0.9,Transaction SAN001592 marked paid but no utilization recorded within 30 days.,2023-12-28 00:00:00
131,1599,3,Phantom Utilization,0.9,Transaction SAN001599 marked paid but no utilization recorded within 30 days.,2024-03-08 00:00:00
132,1638,3,Phantom Utilization,0.91,Transaction SAN001638 marked paid but no utilization recorded within 30 days.,2022-05-20 00:00:00
133,1642,3,Phantom Utilization,0.91,Transaction SAN001642 marked paid but no utilization recorded within 30 days.,2022-08-22 00:00:00
134,1645,3,Phantom Utilization,0.93,Transaction SAN001645 marked paid but no utilization recorded within 30 days.,2022-10-28 00:00:00
135,1660,3,Phantom Utilization,0.87,Transaction SAN001660 marked paid but no utilization recorded within 30 days.,2023-08-25 00:00:00
136,1668,3,Phantom Utilization,0.86,Transaction SAN001668 marked paid but no utilization recorded within 30 days.,2024-01-15 00:00:00
137,1672,3,Phantom Utilization,0.86,Transaction SAN001672 marked paid but no utilization recorded within 30 days.,2023-11-16 00:00:00
138,1673,3,Phantom Utilization,0.88,Transaction SAN001673 marked paid but no utilization recorded within 30 days.,2024-02-03 00:00:00
139,1678,3,Phantom Utilization,0.86,Transaction SAN001678 marked paid but no utilization recorded within 30 days.,2023-04-10 00:00:00
140,1689,3,Phantom Utilization,0.93,Transaction SAN001689 marked paid but no utilization recorded within 30 days.,2023-12-29 00:00:00
141,1736,3,Phantom Utilization,0.96,Transaction SAN001736 marked paid but no utilization recorded within 30 days.,2024-06-02 00:00:00
142,1751,3,Phantom Utilization,0.85,Transaction SAN001751 marked paid but no utilization recorded within 30 days.,2024-12-18 00:00:00
143,1752,3,Phantom Utilization,0.94,Transaction SAN001752 marked paid but no utilization recorded within 30 days.,2024-12-11 00:00:00
144,1761,3,Phantom Utilization,0.93,Transaction SAN001761 marked paid but no utilization recorded within 30 days.,2024-10-11 00:00:00
145,1769,3,Phantom Utilization,0.91,Transaction SAN001769 marked paid but no utilization recorded within 30 days.,2024-08-19 00:00:00
146,1778,3,Phantom Utilization,0.84,Transaction SAN001778 marked paid but no utilization recorded within 30 days.,2022-08-22 00:00:00
147,1789,3,Phantom Utilization,0.95,Transaction SAN001789 marked paid but no utilization recorded within 30 days.,2022-09-23 00:00:00
148,1804,3,Phantom Utilization,0.91,Transaction SAN001804 marked paid but no utilization recorded within 30 days.,2022-11-20 00:00:00
149,1812,3,Phantom Utilization,0.91,Transaction SAN001812 marked paid but no utilization recorded within 30 days.,2022-12-28 00:00:00
150,1828,3,Phantom Utilization,0.92,Transaction SAN001828 marked paid but no utilization recorded within 30 days.,2023-06-30 00:00:00
151,1834,3,Phantom Utilization,0.87,Transaction SAN001834 marked paid but no utilization recorded within 30 days.,2023-05-19 00:00:00
152,1841,3,Phantom Utilization,0.91,Transaction SAN001841 marked paid but no utilization recorded within 30 days.,2023-11-09 00:00:00
153,1849,3,Phantom Utilization,0.85,Transaction SAN001849 marked paid but no utilization recorded within 30 days.,2023-09-25 00:00:00
154,1860,3,Phantom Utilization,0.9,Transaction SAN001860 marked paid but no utilization recorded within 30 days.,2023-09-28 00:00:00
155,1865,3,Phantom Utilization,0.91,Transaction SAN001865 marked paid but no utilization recorded within 30 days.,2023-09-18 00:00:00
156,1881,3,Phantom Utilization,0.88,Transaction SAN001881 marked paid but no utilization recorded within 30 days.,2024-01-22 00:00:00
157,1890,3,Phantom Utilization,0.91,Transaction SAN001890 marked paid but no utilization recorded within 30 days.,2024-01-31 00:00:00
158,1901,3,Phantom Utilization,0.89,Transaction SAN001901 marked paid but no utilization recorded within 30 days.,2024-07-13 00:00:00
159,1907,3,Phantom Utilization,0.85,Transaction SAN001907 marked paid but no utilization recorded within 30 days.,2024-06-05 00:00:00
160,1909,3,Phantom Utilization,0.91,Transaction SAN001909 marked paid but no utilization recorded within 30 days.,2024-12-09 00:00:00
161,1916,3,Phantom Utilization,0.92,Transaction SAN001916 marked paid but no utilization recorded within 30 days.,2024-02-27 00:00:00
162,1917,3,Phantom Utilization,0.95,Transaction SAN001917 marked paid but no utilization recorded within 30 days.,2024-07-08 00:00:00
163,1925,3,Phantom Utilization,0.93,Transaction SAN001925 marked paid but no utilization recorded within 30 days.,2024-10-18 00:00:00
164,1950,3,Phantom Utilization,0.94,Transaction SAN001950 marked paid but no utilization recorded within 30 days.,2024-03-17 00:00:00
165,1960,3,Phantom Utilization,0.93,Transaction SAN001960 marked paid but no utilization recorded within 30 days.,2022-11-26 00:00:00
166,1964,3,Phantom Utilization,0.88,Transaction SAN001964 marked paid but no utilization recorded within 30 days.,2023-01-06 00:00:00
167,1981,3,Phantom Utilization,0.95,Transaction SAN001981 marked paid but no utilization recorded within 30 days.,2022-07-24 00:00:00
168,1988,3,Phantom Utilization,0.9,Transaction SAN001988 marked paid but no utilization recorded within 30 days.,2022-08-17 00:00:00
169,1996,3,Phantom Utilization,0.89,Transaction SAN001996 marked paid but no utilization recorded within 30 days.,2022-09-21 00:00:00
170,2007,3,Phantom Utilization,0.91,Transaction SAN002007 marked paid but no utilization recorded within 30 days.,2023-07-12 00:00:00
171,2031,3,Phantom Utilization,0.86,Transaction SAN002031 marked paid but no utilization recorded within 30 days.,2023-09-30 00:00:00
172,2046,3,Phantom Utilization,0.87,Transaction SAN002046 marked paid but no utilization recorded within 30 days.,2023-06-04 00:00:00
173,2084,3,Phantom Utilization,0.88,Transaction SAN002084 marked paid but no utilization recorded within 30 days.,2024-08-11 00:00:00
174,2107,3,Phantom Utilization,0.94,Transaction SAN002107 marked paid but no utilization recorded within 30 days.,2024-12-01 00:00:00
175,2118,3,Phantom Utilization,0.93,Transaction SAN002118 marked paid but no utilization recorded within 30 days.,2024-10-15 00:00:00
176,2119,3,Phantom Utilization,0.9,Transaction SAN002119 marked paid but no utilization recorded within 30 days.,2024-06-15 00:00:00
177,2154,3,Phantom Utilization,0.95,Transaction SAN002154 marked paid but no utilization recorded within 30 days.,2022-11-08 00:00:00
178,2157,3,Phantom Utilization,0.91,Transaction SAN002157 marked paid but no utilization recorded within 30 days.,2022-03-20 00:00:00
179,2159,3,Phantom Utilization,0.91,Transaction SAN002159 marked paid but no utilization recorded within 30 days.,2022-12-07 00:00:00
180,2160,3,Phantom Utilization,0.89,Transaction SAN002160 marked paid but no utilization recorded within 30 days.,2022-12-11 00:00:00
181,2176,3,Phantom Utilization,0.91,Transaction SAN002176 marked paid but no utilization recorded within 30 days.,2023-06-08 00:00:00
182,2239,3,Phantom Utilization,0.93,Transaction SAN002239 marked paid but no utilization recorded within 30 days.,2024-06-26 00:00:00
183,2258,3,Phantom Utilization,0.86,Transaction SAN002258 marked paid but no utilization recorded within 30 days.,2024-03-02 00:00:00
184,2289,3,Phantom Utilization,0.95,Transaction SAN002289 marked paid but no utilization recorded within 30 days.,2025-01-03 00:00:00
185,2291,3,Phantom Utilization,0.88,Transaction SAN002291 marked paid but no utilization recorded within 30 days.,2024-12-20 00:00:00
186,2295,3,Phantom Utilization,0.89,Transaction SAN002295 marked paid but no utilization recorded within 30 days.,2024-10-10 00:00:00
187,2311,4,Phantom Utilization,0.9,Transaction SAN002311 marked paid but no utilization recorded within 30 days.,2022-08-18 00:00:00
188,2329,4,Phantom Utilization,0.88,Transaction SAN002329 marked paid but no utilization recorded within 30 days.,2022-09-15 00:00:00
189,2341,4,Phantom Utilization,0.88,Transaction SAN002341 marked paid but no utilization recorded within 30 days.,2022-07-19 00:00:00
190,2343,4,Phantom Utilization,0.92,Transaction SAN002343 marked paid but no utilization recorded within 30 days.,2022-12-09 00:00:00
191,2348,4,Phantom Utilization,0.91,Transaction SAN002348 marked paid but no utilization recorded within 30 days.,2023-01-05 00:00:00
192,2351,4,Phantom Utilization,0.95,Transaction SAN002351 marked paid but no utilization recorded within 30 days.,2022-05-07 00:00:00
193,2356,4,Phantom Utilization,0.95,Transaction SAN002356 marked paid but no utilization recorded within 30 days.,2023-08-28 00:00:00
194,2374,4,Phantom Utilization,0.96,Transaction SAN002374 marked paid but no utilization recorded within 30 days.,2023-07-30 00:00:00
195,2395,4,Phantom Utilization,0.87,Transaction SAN002395 marked paid but no utilization recorded within 30 days.,2023-12-17 00:00:00
196,2397,4,Phantom Utilization,0.87,Transaction SAN002397 marked paid but no utilization recorded within 30 days.,2025-01-17 00:00:00
197,2411,4,Phantom Utilization,0.89,Transaction SAN002411 marked paid but no utilization recorded within 30 days.,2024-05-17 00:00:00
198,2414,4,Phantom Utilization,0.93,Transaction SAN002414 marked paid but no utilization recorded within 30 days.,2025-01-21 00:00:00
199,2423,4,Phantom Utilization,0.88,Transaction SAN002423 marked paid but no utilization recorded within 30 days.,2024-03-01 00:00:00
200,2425,4,Phantom Utilization,0.92,Transaction SAN002425 marked paid but no utilization recorded within 30 days.,2025-01-29 00:00:00
201,2430,4,Phantom Utilization,0.89,Transaction SAN002430 marked paid but no utilization recorded within 30 days.,2024-04-29 00:00:00
202,2463,4,Phantom Utilization,0.87,Transaction SAN002463 marked paid but no utilization recorded within 30 days.,2022-06-19 00:00:00
203,2479,4,Phantom Utilization,0.85,Transaction SAN002479 marked paid but no utilization recorded within 30 days.,2022-09-10 00:00:00
204,2488,4,Phantom Utilization,0.84,Transaction SAN002488 marked paid but no utilization recorded within 30 days.,2023-01-25 00:00:00
205,2491,4,Phantom Utilization,0.87,Transaction SAN002491 marked paid but no utilization recorded within 30 days.,2023-01-27 00:00:00
206,2496,4,Phantom Utilization,0.92,Transaction SAN002496 marked paid but no utilization recorded within 30 days.,2022-12-09 00:00:00
207,2529,4,Phantom Utilization,0.94,Transaction SAN002529 marked paid but no utilization recorded within 30 days.,2023-12-30 00:00:00
208,2601,4,Phantom Utilization,0.92,Transaction SAN002601 marked paid but no utilization recorded within 30 days.,2024-12-22 00:00:00
209,2618,4,Phantom Utilization,0.96,Transaction SAN002618 marked paid but no utilization recorded within 30 days.,2022-04-29 00:00:00
210,2624,4,Phantom Utilization,0.94,Transaction SAN002624 marked paid but no utilization recorded within 30 days.,2022-08-01 00:00:00
211,2626,4,Phantom Utilization,0.95,Transaction SAN002626 marked paid but no utilization recorded within 30 days.,2023-01-23 00:00:00
212,2636,4,Phantom Utilization,0.86,Transaction SAN002636 marked paid but no utilization recorded within 30 days.,2022-12-18 00:00:00
213,2637,4,Phantom Utilization,0.9,Transaction SAN002637 marked paid but no utilization recorded within 30 days.,2022-08-18 00:00:00
214,2639,4,Phantom Utilization,0.88,Transaction SAN002639 marked paid but no utilization recorded within 30 days.,2022-10-06 00:00:00
215,2649,4,Phantom Utilization,0.86,Transaction SAN002649 marked paid but no utilization recorded within 30 days.,2022-08-02 00:00:00
216,2664,4,Phantom Utilization,0.88,Transaction SAN002664 marked paid but no utilization recorded within 30 days.,2023-07-31 00:00:00
217,2691,4,Phantom Utilization,0.85,Transaction SAN002691 marked paid but no utilization recorded within 30 days.,2023-12-17 00:00:00
218,2726,4,Phantom Utilization,0.92,Transaction SAN002726 marked paid but no utilization recorded within 30 days.,2024-12-18 00:00:00
219,2741,4,Phantom Utilization,0.88,Transaction SAN002741 marked paid but no utilization recorded within 30 days.,2024-11-28 00:00:00
220,2764,4,Phantom Utilization,0.93,Transaction SAN002764 marked paid but no utilization recorded within 30 days.,2022-09-28 00:00:00
221,2781,4,Phantom Utilization,0.9,Transaction SAN002781 marked paid but no utilization recorded within 30 days.,2022-09-04 00:00:00
222,2816,4,Phantom Utilization,0.93,Transaction SAN002816 marked paid but no utilization recorded within 30 days.,2023-12-30 00:00:00
223,2840,4,Phantom Utilization,0.92,Transaction SAN002840 marked paid but no utilization recorded within 30 days.,2024-01-31 00:00:00
224,2869,4,Phantom Utilization,0.84,Transaction SAN002869 marked paid but no utilization recorded within 30 days.,2024-02-07 00:00:00
225,2877,4,Phantom Utilization,0.95,Transaction SAN002877 marked paid but no utilization recorded within 30 days.,2024-08-29 00:00:00
226,2885,4,Phantom Utilization,0.94,Transaction SAN002885 marked paid but no utilization recorded within 30 days.,2025-01-30 00:00:00
