id,scheme_id,district,fiscal_year,quarter,planned_amount_lakhs,actual_disbursed_lakhs,planned_beneficiaries,actual_beneficiaries,disbursement_date,mode
36,1,Dhule,2024-25,4,597.017,160.16,12500,3353,2024-12-25,DBT-Bank
37,1,Gadchiroli,2024-25,1,568.8496,146.84,12500,3226,2024-03-18,DBT-Bank
38,1,Gadchiroli,2024-25,2,568.8496,159.7,12500,3509,2024-06-26,DBT-Bank
39,1,Gadchiroli,2024-25,3,568.8496,141.56,12500,3110,2024-09-17,DBT-Bank
40,1,Gadchiroli,2024-25,4,568.8496,132.6,12500,2913,2024-12-12,DBT-Bank
41,1,Gondia,2024-25,1,614.4966,135.73,12500,2761,2024-03-20,DBT-Bank
42,1,Gondia,2024-25,2,614.4966,151.13,12500,3074,2024-06-27,DBT-Bank
43,1,Gondia,2024-25,3,614.4966,134.29,12500,2731,2024-09-14,DBT-Bank
44,1,Gondia,2024-25,4,614.4966,141.24,12500,2873,2024-12-14,DBT-Bank
45,1,Hingoli,2024-25,1,613.2621,127.94,12500,2607,2024-03-23,DBT-Bank
46,1,Hingoli,2024-25,2,613.2621,151.36,12500,3085,2024-06-24,DBT-Bank
47,1,Hingoli,2024-25,3,613.2621,149.44,12500,3046,2024-09-16,DBT-Bank
48,1,Hingoli,2024-25,4,613.2621,168.63,12500,3437,2024-12-22,DBT-Bank
49,1,Jalgaon,2024-25,1,647.6383,159.35,12500,3075,2024-03-10,DBT-Bank
50,1,Jalgaon,2024-25,2,647.6383,186.41,12500,3597,2024-06-28,DBT-Bank
51,1,Jalgaon,2024-25,3,647.6383,156.1,12500,3012,2024-09-10,DBT-Bank
52,1,Jalgaon,2024-25,4,647.6383,183.41,12500,3540,2024-12-19,DBT-Bank
53,1,Jalna,2024-25,1,621.4146,164.95,12500,3318,2024-03-23,DBT-Bank
54,1,Jalna,2024-25,2,621.4146,163.42,12500,3287,2024-06-27,DBT-Bank
55,1,Jalna,2024-25,3,621.4146,169.33,12500,3406,2024-09-17,DBT-Bank
56,1,Jalna,2024-25,4,621.4146,154.81,12500,3113,2024-12-18,DBT-Bank
57,1,Kolhapur,2024-25,1,566.3836,116.73,12500,2576,2024-03-20,DBT-Bank
58,1,Kolhapur,2024-25,2,566.3836,154.72,12500,3414,2024-06-22,DBT-Bank
59,1,Kolhapur,2024-25,3,566.3836,151.12,12500,3335,2024-09-24,DBT-Bank
60,1,Kolhapur,2024-25,4,566.3836,159.42,12500,3518,2024-12-27,DBT-Bank
61,1,Latur,2024-25,1,495.5469,115.15,12500,2904,2024-03-28,DBT-Bank
62,1,Latur,2024-25,2,495.5469,135.14,12500,3408,2024-06-12,DBT-Bank
63,1,Latur,2024-25,3,495.5469,129.19,12500,3258,2024-09-14,DBT-Bank
64,1,Latur,2024-25,4,495.5469,137.52,12500,3468,2024-12-15,DBT-Bank
65,1,Mumbai City,2024-25,1,499.5868,115.55,12500,2891,2024-03-16,DBT-Bank
66,1,Mumbai City,2024-25,2,499.5868,128.13,12500,3205,2024-06-20,DBT-Bank
67,1,Mumbai City,2024-25,3,499.5868,134.68,12500,3369,2024-09-22,DBT-Bank
68,1,Mumbai City,2024-25,4,499.5868,116.59,12500,2917,2024-12-23,DBT-Bank
69,1,Mumbai Suburban,2024-25,1,534.581,112.21,12500,2623,2024-03-10,DBT-Bank
70,1,Mumbai Suburban,2024-25,2,534.581,149.37,12500,3492,2024-06-11,DBT-Bank
71,1,Mumbai Suburban,2024-25,3,534.581,153.69,12500,3593,2024-09-21,DBT-Bank
72,1,Mumbai Suburban,2024-25,4,534.581,122.59,12500,2866,2024-12-12,DBT-Bank
73,1,Nagpur,2024-25,1,626.2236,157.14,12500,3136,2024-03-10,DBT-Bank
74,1,Nagpur,2024-25,2,626.2236,184.78,12500,3688,2024-06-16,DBT-Bank
75,1,Nagpur,2024-25,3,626.2236,172.49,12500,3443,2024-09-14,DBT-Bank
76,1,Nagpur,2024-25,4,626.2236,144.28,12500,2879,2024-12-25,DBT-Bank
77,1,Nanded,2024-25,1,606.8587,148.44,12500,3057,2024-03-16,DBT-Bank
78,1,Nanded,2024-25,2,606.8587,156.13,12500,3215,2024-06-18,DBT-Bank
79,1,Nanded,2024-25,3,606.8587,163.86,12500,3375,2024-09-15,DBT-Bank
80,1,Nanded,2024-25,4,606.8587,156.53,12500,3224,2024-12-13,DBT-Bank
81,1,Nandurbar,2024-25,1,625.6274,135.0,12500,2697,2024-03-19,DBT-Bank
82,1,Nandurbar,2024-25,2,625.6274,143.54,12500,2867,2024-06-10,DBT-Bank
83,1,Nandurbar,2024-25,3,625.6274,176.53,12500,3527,2024-09-28,DBT-Bank
84,1,Nandurbar,2024-25,4,625.6274,164.73,12500,3291,2024-12-22,DBT-Bank
85,1,Nashik,2024-25,1,559.5954,142.97,12500,3193,2024-03-12,DBT-Bank
86,1,Nashik,2024-25,2,559.5954,149.51,12500,3339,2024-06-17,DBT-Bank
87,1,Nashik,2024-25,3,559.5954,123.19,12500,2751,2024-09-19,DBT-Bank
88,1,Nashik,2024-25,4,559.5954,154.6,12500,3453,2024-12-13,DBT-Bank
89,1,Osmanabad,2024-25,1,628.8214,153.9,12500,3059,2024-03-11,DBT-Bank
90,1,Osmanabad,2024-25,2,628.8214,156.0,12500,3101,2024-06-23,DBT-Bank
91,1,Osmanabad,2024-25,3,628.8214,164.82,12500,3276,2024-09-12,DBT-Bank
92,1,Osmanabad,2024-25,4,628.8214,157.49,12500,3130,2024-12-20,DBT-Bank
93,1,Palghar,2024-25,1,493.067,115.5,12500,2928,2024-03-25,DBT-Bank
94,1,Palghar,2024-25,2,493.067,113.03,12500,2865,2024-06-21,DBT-Bank
95,1,Palghar,2024-25,3,493.067,128.28,12500,3252,2024-09-24,DBT-Bank
96,1,Palghar,2024-25,4,493.067,130.93,12500,3319,2024-12-23,DBT-Bank
97,1,Parbhani,2024-25,1,521.3907,125.95,12500,3019,2024-03-18,DBT-Bank
98,1,Parbhani,2024-25,2,521.3907,140.28,12500,3363,2024-06-27,DBT-Bank
99,1,Parbhani,2024-25,3,521.3907,141.09,12500,3382,2024-09-24,DBT-Bank
100,1,Parbhani,2024-25,4,521.3907,127.83,12500,3064,2024-12-28,DBT-Bank
101,1,Pune,2024-25,1,537.3745,142.58,12500,3316,2024-03-12,DBT-Bank
102,1,Pune,2024-25,2,537.3745,130.45,12500,3034,2024-06-24,DBT-Bank
103,1,Pune,2024-25,3,537.3745,124.02,12500,2884,2024-09-24,DBT-Bank
104,1,Pune,2024-25,4,537.3745,137.16,12500,3190,2024-12-22,DBT-Bank
105,1,Raigad,2024-25,1,549.1557,131.57,12500,2994,2024-03-20,DBT-Bank
106,1,Raigad,2024-25,2,549.1557,129.15,12500,2939,2024-06-16,DBT-Bank
107,1,Raigad,2024-25,3,549.1557,131.31,12500,2988,2024-09-18,DBT-Bank
108,1,Raigad,2024-25,4,549.1557,130.71,12500,2975,2024-12-18,DBT-Bank
109,1,Ratnagiri,2024-25,1,587.1658,141.62,12500,3014,2024-03-16,DBT-Bank
110,1,Ratnagiri,2024-25,2,587.1658,133.68,12500,2845,2024-06-23,DBT-Bank
111,1,Ratnagiri,2024-25,3,587.1658,146.29,12500,3114,2024-09-17,DBT-Bank
112,1,Ratnagiri,2024-25,4,587.1658,155.19,12500,3303,2024-12-25,DBT-Bank
113,1,Sangli,2024-25,1,568.5212,116.68,12500,2565,2024-03-19,DBT-Bank
114,1,Sangli,2024-25,2,568.5212,135.47,12500,2978,2024-06-17,DBT-Bank
115,1,Sangli,2024-25,3,568.5212,133.87,12500,2943,2024-09-28,DBT-Bank
116,1,Sangli,2024-25,4,568.5212,136.55,12500,3002,2024-12-27,DBT-Bank
117,1,Satara,2024-25,1,582.8572,136.76,12500,2932,2024-03-27,DBT-Bank
118,1,Satara,2024-25,2,582.8572,143.85,12500,3085,2024-06-24,DBT-Bank
119,1,Satara,2024-25,3,582.8572,135.7,12500,2910,2024-09-18,DBT-Bank
120,1,Satara,2024-25,4,582.8572,133.93,12500,2872,2024-12-16,DBT-Bank
121,1,Sindhudurg,2024-25,1,545.5437,140.47,12500,3218,2024-03-15,DBT-Bank
122,1,Sindhudurg,2024-25,2,545.5437,128.72,12500,2949,2024-06-25,DBT-Bank
123,1,Sindhudurg,2024-25,3,545.5437,127.24,12500,2915,2024-09-28,DBT-Bank
124,1,Sindhudurg,2024-25,4,545.5437,155.89,12500,3571,2024-12-26,DBT-Bank
125,1,Solapur,2024-25,1,594.269,163.18,12500,3432,2024-03-16,DBT-Bank
126,1,Solapur,2024-25,2,594.269,145.07,12500,3051,2024-06-21,DBT-Bank
127,1,Solapur,2024-25,3,594.269,134.28,12500,2824,2024-09-10,DBT-Bank
128,1,Solapur,2024-25,4,594.269,157.84,12500,3320,2024-12-14,DBT-Bank
129,1,Thane,2024-25,1,538.3994,147.6,12500,3426,2024-03-27,DBT-Bank
130,1,Thane,2024-25,2,538.3994,131.25,12500,3047,2024-06-14,DBT-Bank
131,1,Thane,2024-25,3,538.3994,140.17,12500,3254,2024-09-25,DBT-Bank
132,1,Thane,2024-25,4,538.3994,118.55,12500,2752,2024-12-10,DBT-Bank
133,1,Wardha,2024-25,1,590.3316,140.38,12500,2972,2024-03-24,DBT-Bank
134,1,Wardha,2024-25,2,590.3316,146.15,12500,3094,2024-06-11,DBT-Bank
135,1,Wardha,2024-25,3,590.3316,136.62,12500,2892,2024-09-25,DBT-Bank
136,1,Wardha,2024-25,4,590.3316,130.5,12500,2763,2024-12-12,DBT-Bank
137,1,Washim,2024-25,1,560.2976,117.29,12500,2616,2024-03-11,DBT-Bank
138,1,Washim,2024-25,2,560.2976,130.46,12500,2910,2024-06-28,DBT-Bank
139,1,Washim,2024-25,3,560.2976,158.95,12500,3546,2024-09-12,DBT-Bank
140,1,Washim,2024-25,4,560.2976,160.83,12500,3588,2024-12-13,DBT-Bank
141,1,Yavatmal,2024-25,1,587.5612,137.47,12500,2924,2024-03-17,DBT-Bank
142,1,Yavatmal,2024-25,2,587.5612,165.4,12500,3518,2024-06-22,DBT-Bank
143,1,Yavatmal,2024-25,3,587.5612,144.71,12500,3078,2024-09-24,DBT-Bank
144,1,Yavatmal,2024-25,4,587.5612,137.96,12500,2935,2024-12-28,DBT-Bank
145,2,Ahmednagar,2024-25,1,235.5193,13.31,833,47,2024-03-11,Physical
146,2,Ahmednagar,2024-25,2,235.5193,19.46,833,68,2024-06-13,Physical
147,2,Ahmednagar,2024-25,3,235.5193,26.71,833,94,2024-09-16,Physical
148,2,Ahmednagar,2024-25,4,235.5193,185.73,833,656,2024-12-18,Physical
149,2,Akola,2024-25,1,215.2157,11.58,833,44,2024-03-15,Physical
150,2,Akola,2024-25,2,215.2157,17.49,833,67,2024-06-15,Physical
151,2,Akola,2024-25,3,215.2157,18.31,833,70,2024-09-24,Physical
152,2,Akola,2024-25,4,215.2157,172.86,833,669,2024-12-25,Physical
153,2,Amravati,2024-25,1,192.4749,10.62,833,45,2024-03-19,Physical
154,2,Amravati,2024-25,2,192.4749,16.34,833,70,2024-06-24,Physical
155,2,Amravati,2024-25,3,192.4749,16.77,833,72,2024-09-17,Physical
156,2,Amravati,2024-25,4,192.4749,164.88,833,713,2024-12-28,Physical
157,2,Aurangabad,2024-25,1,215.2622,14.6,833,56,2024-03-23,Physical
158,2,Aurangabad,2024-25,2,215.2622,15.23,833,58,2024-06-17,Physical
159,2,Aurangabad,2024-25,3,215.2622,22.48,833,86,2024-09-18,Physical
160,2,Aurangabad,2024-25,4,215.2622,179.63,833,695,2024-12-12,Physical
161,2,Beed,2024-25,1,178.207,11.63,833,54,2024-03-28,Physical
162,2,Beed,2024-25,2,178.207,16.06,833,75,2024-06-24,Physical
163,2,Beed,2024-25,3,178.207,15.81,833,73,2024-09-19,Physical
164,2,Beed,2024-25,4,178.207,143.55,833,671,2024-12-18,Physical
165,2,Bhandara,2024-25,1,205.3624,12.3,833,49,2024-03-12,Physical
166,2,Bhandara,2024-25,2,205.3624,16.91,833,68,2024-06-23,Physical
167,2,Bhandara,2024-25,3,205.3624,21.98,833,89,2024-09-18,Physical
168,2,Bhandara,2024-25,4,205.3624,133.88,833,543,2024-12-17,Physical
169,2,Buldhana,2024-25,1,233.7871,15.44,833,55,2024-03-28,Physical
170,2,Buldhana,2024-25,2,233.7871,19.19,833,68,2024-06-10,Physical
171,2,Buldhana,2024-25,3,233.7871,26.88,833,95,2024-09-18,Physical
172,2,Buldhana,2024-25,4,233.7871,181.74,833,647,2024-12-15,Physical
173,2,Chandrapur,2024-25,1,203.5162,12.77,833,52,2024-03-18,Physical
174,2,Chandrapur,2024-25,2,203.5162,14.73,833,60,2024-06-28,Physical
175,2,Chandrapur,2024-25,3,203.5162,19.96,833,81,2024-09-25,Physical
176,2,Chandrapur,2024-25,4,203.5162,176.44,833,722,2024-12-25,Physical
177,2,Dhule,2024-25,1,195.9677,11.17,833,47,2024-03-13,Physical
178,2,Dhule,2024-25,2,195.9677,17.36,833,73,2024-06-20,Physical
179,2,Dhule,2024-25,3,195.9677,19.08,833,81,2024-09-25,Physical
180,2,Dhule,2024-25,4,195.9677,139.47,833,592,2024-12-22,Physical
181,2,Gadchiroli,2024-25,1,224.649,13.68,833,50,2024-03-24,Physical
182,2,Gadchiroli,2024-25,2,224.649,15.75,833,58,2024-06-18,Physical
183,2,Gadchiroli,2024-25,3,224.649,21.27,833,78,2024-09-22,Physical
184,2,Gadchiroli,2024-25,4,224.649,189.42,833,702,2024-12-10,Physical
185,2,Gondia,2024-25,1,215.0452,13.07,833,50,2024-03-23,Physical
186,2,Gondia,2024-25,2,215.0452,14.9,833,57,2024-06-26,Physical
187,2,Gondia,2024-25,3,215.0452,20.61,833,79,2024-09-25,Physical
188,2,Gondia,2024-25,4,215.0452,169.58,833,656,2024-12-11,Physical
189,2,Hingoli,2024-25,1,187.0725,11.39,833,50,2024-03-19,Physical
190,2,Hingoli,2024-25,2,187.0725,14.69,833,65,2024-06-25,Physical
191,2,Hingoli,2024-25,3,187.0725,16.58,833,73,2024-09-17,Physical
192,2,Hingoli,2024-25,4,187.0725,151.12,833,672,2024-12-19,Physical
193,2,Jalgaon,2024-25,1,208.465,12.7,833,50,2024-03-12,Physical
194,2,Jalgaon,2024-25,2,208.465,15.3,833,61,2024-06-13,Physical
195,2,Jalgaon,2024-25,3,208.465,20.61,833,82,2024-09-13,Physical
196,2,Jalgaon,2024-25,4,208.465,165.45,833,661,2024-12-14,Physical
197,2,Jalna,2024-25,1,205.2333,13.11,833,53,2024-03-26,Physical
198,2,Jalna,2024-25,2,205.2333,17.43,833,70,2024-06-23,Physical
199,2,Jalna,2024-25,3,205.2333,22.58,833,91,2024-09-25,Physical
200,2,Jalna,2024-25,4,205.2333,143.99,833,584,2024-12-27,Physical
201,2,Kolhapur,2024-25,1,183.4433,9.98,833,45,2024-03-26,Physical
202,2,Kolhapur,2024-25,2,183.4433,15.76,833,71,2024-06-14,Physical
203,2,Kolhapur,2024-25,3,183.4433,20.35,833,92,2024-09-18,Physical
204,2,Kolhapur,2024-25,4,183.4433,150.82,833,684,2024-12-23,Physical
205,2,Latur,2024-25,1,195.4696,12.74,833,54,2024-03-18,Physical
206,2,Latur,2024-25,2,195.4696,17.14,833,73,2024-06-19,Physical
207,2,Latur,2024-25,3,195.4696,20.87,833,88,2024-09-28,Physical
208,2,Latur,2024-25,4,195.4696,152.12,833,648,2024-12-25,Physical
209,2,Mumbai City,2024-25,1,227.8334,13.45,833,49,2024-03-25,Physical
210,2,Mumbai City,2024-25,2,227.8334,17.38,833,63,2024-06-27,Physical
211,2,Mumbai City,2024-25,3,227.8334,24.58,833,89,2024-09-22,Physical
212,2,Mumbai City,2024-25,4,227.8334,170.83,833,624,2024-12-20,Physical
213,2,Mumbai Suburban,2024-25,1,228.1008,15.66,833,57,2024-03-17,Physical
214,2,Mumbai Suburban,2024-25,2,228.1008,18.64,833,68,2024-06-17,Physical
215,2,Mumbai Suburban,2024-25,3,228.1008,25.25,833,92,2024-09-23,Physical
216,2,Mumbai Suburban,2024-25,4,228.1008,149.62,833,546,2024-12-25,Physical
217,2,Nagpur,2024-25,1,217.9754,14.3,833,54,2024-03-22,Physical
218,2,Nagpur,2024-25,2,217.9754,19.99,833,76,2024-06-14,Physical
219,2,Nagpur,2024-25,3,217.9754,21.77,833,83,2024-09-11,Physical
220,2,Nagpur,2024-25,4,217.9754,147.09,833,562,2024-12-28,Physical
221,2,Nanded,2024-25,1,194.9842,10.3,833,43,2024-03-24,Physical
222,2,Nanded,2024-25,2,194.9842,13.73,833,58,2024-06-24,Physical
223,2,Nanded,2024-25,3,194.9842,16.66,833,71,2024-09-14,Physical
224,2,Nanded,2024-25,4,194.9842,144.19,833,615,2024-12-14,Physical
225,2,Nandurbar,2024-25,1,179.1428,11.66,833,54,2024-03-18,Physical
226,2,Nandurbar,2024-25,2,179.1428,13.64,833,63,2024-06-22,Physical
227,2,Nandurbar,2024-25,3,179.1428,18.72,833,87,2024-09-20,Physical
228,2,Nandurbar,2024-25,4,179.1428,150.54,833,699,2024-12-27,Physical
229,2,Nashik,2024-25,1,197.9419,11.22,833,47,2024-03-25,Physical
230,2,Nashik,2024-25,2,197.9419,17.6,833,74,2024-06-11,Physical
231,2,Nashik,2024-25,3,197.9419,20.49,833,86,2024-09-17,Physical
232,2,Nashik,2024-25,4,197.9419,156.36,833,657,2024-12-19,Physical
233,2,Osmanabad,2024-25,1,235.9748,15.21,833,53,2024-03-23,Physical
234,2,Osmanabad,2024-25,2,235.9748,21.59,833,76,2024-06-13,Physical
235,2,Osmanabad,2024-25,3,235.9748,23.2,833,81,2024-09-19,Physical
236,2,Osmanabad,2024-25,4,235.9748,201.05,833,709,2024-12-11,Physical
237,2,Palghar,2024-25,1,194.5148,10.12,833,43,2024-03-21,Physical
238,2,Palghar,2024-25,2,194.5148,14.98,833,64,2024-06-14,Physical
239,2,Palghar,2024-25,3,194.5148,17.96,833,76,2024-09-23,Physical
240,2,Palghar,2024-25,4,194.5148,150.76,833,645,2024-12-15,Physical
241,2,Parbhani,2024-25,1,185.0043,9.7,833,43,2024-03-22,Physical
242,2,Parbhani,2024-25,2,185.0043,15.33,833,69,2024-06-17,Physical
243,2,Parbhani,2024-25,3,185.0043,18.49,833,83,2024-09-28,Physical
244,2,Parbhani,2024-25,4,185.0043,125.55,833,565,2024-12-24,Physical
245,2,Pune,2024-25,1,213.8283,12.67,833,49,2024-03-10,Physical
246,2,Pune,2024-25,2,213.8283,19.15,833,74,2024-06-24,Physical
247,2,Pune,2024-25,3,213.8283,23.96,833,93,2024-09-27,Physical
248,2,Pune,2024-25,4,213.8283,145.83,833,568,2024-12-24,Physical
249,2,Raigad,2024-25,1,232.7598,16.01,833,57,2024-03-19,Physical
250,2,Raigad,2024-25,2,232.7598,19.4,833,69,2024-06-23,Physical
251,2,Raigad,2024-25,3,232.7598,24.6,833,88,2024-09-24,Physical
252,2,Raigad,2024-25,4,232.7598,195.22,833,698,2024-12-16,Physical
253,2,Ratnagiri,2024-25,1,236.0947,15.67,833,55,2024-03-13,Physical
254,2,Ratnagiri,2024-25,2,236.0947,17.4,833,61,2024-06-28,Physical
255,2,Ratnagiri,2024-25,3,236.0947,22.61,833,79,2024-09-19,Physical
256,2,Ratnagiri,2024-25,4,236.0947,205.95,833,726,2024-12-19,Physical
257,2,Sangli,2024-25,1,175.8848,11.6,833,54,2024-03-22,Physical
258,2,Sangli,2024-25,2,175.8848,13.12,833,62,2024-06-28,Physical
259,2,Sangli,2024-25,3,175.8848,19.51,833,92,2024-09-11,Physical
260,2,Sangli,2024-25,4,175.8848,150.14,833,711,2024-12-25,Physical
261,2,Satara,2024-25,1,225.8362,15.19,833,56,2024-03-17,Physical
262,2,Satara,2024-25,2,225.8362,18.65,833,68,2024-06-21,Physical
263,2,Satara,2024-25,3,225.8362,20.68,833,76,2024-09-16,Physical
264,2,Satara,2024-25,4,225.8362,177.86,833,656,2024-12-14,Physical
265,2,Sindhudurg,2024-25,1,213.2334,14.34,833,56,2024-03-11,Physical
266,2,Sindhudurg,2024-25,2,213.2334,16.08,833,62,2024-06-24,Physical
267,2,Sindhudurg,2024-25,3,213.2334,18.34,833,71,2024-09-21,Physical
268,2,Sindhudurg,2024-25,4,213.2334,173.35,833,677,2024-12-12,Physical
269,2,Solapur,2024-25,1,230.5664,13.11,833,47,2024-03-23,Physical
270,2,Solapur,2024-25,2,230.5664,16.65,833,60,2024-06-14,Physical
271,2,Solapur,2024-25,3,230.5664,25.04,833,90,2024-09-21,Physical
272,2,Solapur,2024-25,4,230.5664,176.85,833,638,2024-12-18,Physical
273,2,Thane,2024-25,1,225.6904,12.55,833,46,2024-03-25,Physical
274,2,Thane,2024-25,2,225.6904,20.59,833,75,2024-06-19,Physical
275,2,Thane,2024-25,3,225.6904,24.24,833,89,2024-09-20,Physical
276,2,Thane,2024-25,4,225.6904,187.18,833,690,2024-12-24,Physical
277,2,Wardha,2024-25,1,233.8476,12.52,833,44,2024-03-17,Physical
278,2,Wardha,2024-25,2,233.8476,20.73,833,73,2024-06-22,Physical
279,2,Wardha,2024-25,3,233.8476,26.66,833,94,2024-09-27,Physical
280,2,Wardha,2024-25,4,233.8476,170.57,833,607,2024-12-22,Physical
281,2,Washim,2024-25,1,175.3907,10.64,833,50,2024-03-24,Physical
282,2,Washim,2024-25,2,175.3907,13.48,833,64,2024-06-18,Physical
283,2,Washim,2024-25,3,175.3907,17.98,833,85,2024-09-21,Physical
284,2,Washim,2024-25,4,175.3907,117.64,833,558,2024-12-17,Physical
285,2,Yavatmal,2024-25,1,203.5763,12.65,833,51,2024-03-27,Physical
286,2,Yavatmal,2024-25,2,203.5763,15.45,833,63,2024-06-17,Physical
287,2,Yavatmal,2024-25,3,203.5763,21.26,833,86,2024-09-24,Physical
288,2,Yavatmal,2024-25,4,203.5763,173.72,833,710,2024-12-19,Physical
289,3,Ahmednagar,2024-25,1,63.6875,13.53,6597,1401,2024-03-11,School-Kitchen
290,3,Ahmednagar,2024-25,2,63.6875,18.78,6597,1944,2024-06-19,School-Kitchen
291,3,Ahmednagar,2024-25,3,63.6875,18.29,6597,1894,2024-09-13,School-Kitchen
292,3,Ahmednagar,2024-25,4,63.6875,14.0,6597,1449,2024-12-27,School-Kitchen
293,3,Akola,2024-25,1,54.2955,12.85,6597,1561,2024-03-27,School-Kitchen
294,3,Akola,2024-25,2,54.2955,13.77,6597,1673,2024-06-14,School-Kitchen
295,3,Akola,2024-25,3,54.2955,15.14,6597,1839,2024-09-13,School-Kitchen
296,3,Akola,2024-25,4,54.2955,14.93,6597,1814,2024-12-23,School-Kitchen
297,3,Amravati,2024-25,1,68.9875,15.46,6597,1478,2024-03-21,School-Kitchen
298,3,Amravati,2024-25,2,68.9875,16.42,6597,1569,2024-06-24,School-Kitchen
299,3,Amravati,2024-25,3,68.9875,19.58,6597,1872,2024-09-21,School-Kitchen
300,3,Amravati,2024-25,4,68.9875,15.17,6597,1451,2024-12-21,School-Kitchen
301,3,Aurangabad,2024-25,1,61.7715,16.95,6597,1810,2024-03-21,School-Kitchen
302,3,Aurangabad,2024-25,2,61.7715,13.94,6597,1489,2024-06-18,School-Kitchen
303,3,Aurangabad,2024-25,3,61.7715,14.01,6597,1495,2024-09-13,School-Kitchen
304,3,Aurangabad,2024-25,4,61.7715,17.52,6597,1871,2024-12-24,School-Kitchen
305,3,Beed,2024-25,1,53.4911,11.73,6597,1446,2024-03-10,School-Kitchen
306,3,Beed,2024-25,2,53.4911,12.03,6597,1483,2024-06-20,School-Kitchen
307,3,Beed,2024-25,3,53.4911,12.34,6597,1522,2024-09-14,School-Kitchen
308,3,Beed,2024-25,4,53.4911,14.52,6597,1791,2024-12-16,School-Kitchen
309,3,Bhandara,2024-25,1,53.0693,13.75,6597,1709,2024-03-16,School-Kitchen
310,3,Bhandara,2024-25,2,53.0693,14.16,6597,1759,2024-06-17,School-Kitchen
311,3,Bhandara,2024-25,3,53.0693,12.58,6597,1564,2024-09-14,School-Kitchen
312,3,Bhandara,2024-25,4,53.0693,14.42,6597,1792,2024-12-10,School-Kitchen
313,3,Buldhana,2024-25,1,56.8852,15.63,6597,1813,2024-03-14,School-Kitchen
314,3,Buldhana,2024-25,2,56.8852,14.97,6597,1735,2024-06-15,School-Kitchen
